MP name,Party,Office,Staffing,Windup,Accommodation,Travel,Other,Total
Craig Tracey,Conservative,3381.98,3047.0,0.0,6128.2,926.66,0.0,13483.84
Anne-Marie Trevelyan,Conservative,7846.9,2540.0,0.0,8526.63,3802.68,0.0,22716.21
Jon Trickett,Labour,953.46,0.0,0.0,5730.0,1317.78,0.0,8001.24
Laura Trott,Conservative,3927.42,0.0,0.0,0.0,33.62,0.0,3961.04
Elizabeth Truss,Conservative,7580.73,0.0,0.0,1026.04,467.4,0.0,9074.17
Tom Tugendhat,Conservative,3292.05,3047.0,0.0,4975.07,592.18,0.0,11906.3
Karl Turner,Labour,8203.61,0.0,0.0,4899.7,405.0,0.0,13508.31
Derek Twigg,Labour,4900.28,3600.0,0.0,6434.24,834.85,0.0,15769.37
Liz Twist,Labour,11454.54,0.0,0.0,5210.78,1324.65,0.0,17989.97
Shailesh Vara,Conservative,8015.67,0.0,0.0,0.0,242.55,0.0,8258.22
Valerie Vaz,Labour,7349.65,900.0,0.0,2975.15,230.85,0.0,11455.65
Martin Vickers,Conservative,3979.99,3087.0,0.0,7544.31,0.0,0.0,14611.3
Matt Vickers,Conservative,8875.82,3169.0,0.0,5730.0,1075.16,0.0,18849.98
Theresa Villiers,Conservative,20105.85,0.0,0.0,0.0,0.0,0.0,20105.85
Christian Wakeford,Conservative,9985.41,3049.0,0.0,8598.97,2643.74,0.0,24277.12
Robin Walker,Conservative,5628.48,0.0,0.0,2700.0,648.97,0.0,8977.45
Charles Walker,Conservative,3254.86,0.0,0.0,0.0,0.0,0.0,3254.86
Ben Wallace,Conservative,3072.14,0.0,0.0,5734.91,0.0,119.0,8926.05
Jamie Wallis,Conservative,9454.29,0.0,0.0,9360.0,467.56,0.0,19281.85
David Warburton,Conservative,7999.99,0.0,0.0,10400.0,72.5,0.0,18472.49
Matt Warman,Conservative,7334.9,0.0,0.0,1276.7,1813.13,0.0,10424.73
