name,age,class,honorific,given_name,family_name,url
"McReynolds, Mr. William Thomas Carson",22.0,Engineering Crew,Mr,William Thomas Carson,McReynolds,/titanic-victim/william-mcreynolds.html
"Middleton, Mr. Alfred Pirrie",27.0,Engineering Crew,Mr,Alfred Pirrie,Middleton,/titanic-victim/alfred-pirrie-middleton.html
"Milford, Mr. George",28.0,Engineering Crew,Mr,George,Milford,/titanic-victim/george-milford.html
"Millar, Mr. Robert",26.0,Engineering Crew,Mr,Robert,Millar,/titanic-victim/robert-millar.html
"Millar, Mr. Thomas",32.0,Engineering Crew,Mr,Thomas,Millar,/titanic-victim/thomas-millar.html
"Mintram, Mr. William",46.0,Engineering Crew,Mr,William,Mintram,/titanic-victim/william-mintram.html
"Mitchell, Mr. Lorenzo Horace",19.0,Engineering Crew,Mr,Lorenzo Horace,Mitchell,/titanic-victim/lawrence-mitchell.html
"Moore, Mr. Ralph",22.0,Engineering Crew,Mr,Ralph,Moore,/titanic-victim/ralph-moore.html
"Moore, Mr. J.",29.0,Engineering Crew,Mr,J.,Moore,/titanic-survivor/j-moore.html
"Moores, Mr. Richard Henry",44.0,Engineering Crew,Mr,Richard Henry,Moores,/titanic-victim/richard-henry-moores.html
"Morgan, Mr. Arthur Herbert",27.0,Engineering Crew,Mr,Arthur Herbert,Morgan,/titanic-victim/arthur-herbert-morgan.html
"Morgan, Mr. Thomas A.",26.0,Engineering Crew,Mr,Thomas A.,Morgan,/titanic-victim/thomas-morgan.html
"Morris, Mr. William Edward",23.0,Engineering Crew,Mr,William Edward,Morris,/titanic-victim/william-edward-morris.html
"Moyes, Mr. William Young",24.0,Engineering Crew,Mr,William Young,Moyes,/titanic-victim/william-young-moyes.html
"Murdock, Mr. William John",37.0,Engineering Crew,Mr,William John,Murdock,/titanic-biography/william-murdock.html
"Nettleton, Mr. George Walter",30.0,Engineering Crew,Mr,George Walter,Nettleton,/titanic-victim/george-nettleton.html
"Newman, Mr. Charles Thomas",32.0,Engineering Crew,Mr,Charles Thomas,Newman,/titanic-victim/charles-thomas-newman.html
"Niven, Mr. John Brown",30.0,Engineering Crew,Mr,John Brown,Niven,/titanic-victim/j-mcgregor.html
"Noon, Mr. John Thomas",42.0,Engineering Crew,Mr,John Thomas,Noon,/titanic-victim/john-noon.html
"Norris, Mr. James",22.0,Engineering Crew,Mr,James,Norris,/titanic-victim/j-norris.html
"Noss, Mr. Henry",30.0,Engineering Crew,Mr,Henry,Noss,/titanic-survivor/henry-noss.html
