"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","bedrooms","price","number_of_reviews"
"8797",18514892,"Westerpark",52.39076,4.87775,"Entire apartment","Entire home/apt",1,129,27
"8798",18515604,"Westerpark",52.39013,4.88352,"Entire apartment","Entire home/apt",1,29,76
"8799",18516556,"De Pijp - Rivierenbuurt",52.35459,4.89978,"Entire apartment","Entire home/apt",1,150,45
"8800",18516840,"Centrum-West",52.37624,4.89393,"Entire apartment","Entire home/apt",1,150,10
"8801",18517402,"De Pijp - Rivierenbuurt",52.34708,4.90862,"Entire apartment","Entire home/apt",1,117,13
"8803",18520240,"Oostelijk Havengebied - Indische Buurt",52.36921,4.93632,"Private room in apartment","Private room",1,60,12
"8804",18521558,"Slotervaart",52.35375,4.83127,"Entire apartment","Entire home/apt",1,115,7
"8805",18522189,"Centrum-West",52.37787,4.88323,"Entire apartment","Entire home/apt",1,150,3
"8806",18522423,"De Pijp - Rivierenbuurt",52.34618,4.88678,"Entire apartment","Entire home/apt",2,130,7
"8809",18523760,"Oud-Oost",52.36553,4.92584,"Entire apartment","Entire home/apt",1,120,21
"8810",18524074,"De Pijp - Rivierenbuurt",52.34507,4.89732,"Entire apartment","Entire home/apt",1,90,19
"8811",18531581,"Bos en Lommer",52.37791,4.85956,"Entire apartment","Entire home/apt",2,200,14
"8812",18532102,"De Baarsjes - Oud-West",52.36683,4.85252,"Entire apartment","Entire home/apt",2,130,7
"8813",18538011,"Oud-Oost",52.36088,4.91119,"Private room in apartment","Private room",1,199,0
"8814",18544524,"Bos en Lommer",52.37932,4.85473,"Entire apartment","Entire home/apt",1,49,1
"8815",18547840,"Westerpark",52.37979,4.87735,"Entire apartment","Entire home/apt",1,150,45
"8816",18554974,"Westerpark",52.38024,4.87845,"Entire apartment","Entire home/apt",1,150,25
"8817",18555863,"Zuid",52.355,4.88208,"Entire apartment","Entire home/apt",2,250,36
"8818",18556995,"Buitenveldert - Zuidas",52.34276,4.86822,"Entire apartment","Entire home/apt",1,100,5
"8819",18557557,"De Pijp - Rivierenbuurt",52.35263,4.89986,"Entire apartment","Entire home/apt",1,120,16
"8821",18558833,"Oud-Oost",52.35458,4.92475,"Entire apartment","Entire home/apt",3,188,5
"8822",18559804,"De Baarsjes - Oud-West",52.36787,4.85366,"Entire apartment","Entire home/apt",2,209,8
"8825",18560093,"Noord-Oost",52.39436,4.93723,"Private room in apartment","Private room",1,50,4
"8826",18572594,"De Pijp - Rivierenbuurt",52.34144,4.89461,"Entire apartment","Entire home/apt",1,108,2
"8828",18574837,"Slotervaart",52.36937,4.83614,"Entire apartment","Entire home/apt",2,126,6
"8829",18576076,"Centrum-Oost",52.36801,4.91585,"Private room in apartment","Private room",2,90,3
"8830",18576078,"Centrum-Oost",52.36391,4.88965,"Entire apartment","Entire home/apt",1,170,1
"8831",18576284,"Centrum-West",52.37461,4.89365,"Private room in apartment","Private room",1,158,173
"8832",18581117,"Centrum-West",52.38155,4.88528,"Entire apartment","Entire home/apt",1,208,0
"8833",18584642,"De Aker - Nieuw Sloten",52.34333,4.78873,"Entire house","Entire home/apt",2,200,0
