"R0000100","R0000300","R0000500","R0173600","R0214700","R0214800","R0410100","R0410300","R0614800","R0614900","R0615100","R0615200","R0615300","R0615400","R0615700","R0618011","R0618017","R0618100","R0618200","R0618300","R0810200","R3127500","R3127800","R3401000","R3523200","R3523500","R3559000","R3656400","R3728200","R3728500","R3897100","R4006900","R4182300","R4295100","R4416800","R4418000","R4982800","R5079800","R5081000"
7362,10,60,9,3,1,10,60,51,0,14,24,6,39,8,45,41,43,30,24,1,1,450,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7363,10,63,9,3,1,10,63,51,0,6,8,5,23,3,34,33,27,4,2,1,-4,-4,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7364,7,60,9,3,1,7,60,51,1,12,28,13,30,11,42,46,54,38,42,1,1,545,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7365,7,61,9,3,1,7,61,51,1,15,23,10,45,7,46,40,46,41,28,1,1,700,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7366,7,61,9,3,1,7,61,51,0,17,19,7,23,6,49,38,39,21,20,1,1,865,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7367,3,64,12,3,2,-5,-5,51,0,9,15,8,28,8,38,41,37,14,13,-5,1,600,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7368,9,60,13,2,2,9,60,51,1,18,30,11,44,20,50,60,54,59,64,2,1,500,1,1,500,13000,1,1,685,14000,1,1,19000,740,1,18000,770,1
7369,1,62,10,2,1,1,62,51,1,21,29,15,29,23,54,65,56,57,77,1,2,1682,1,2,1971,41000,1,2,2115,44000,1,2,45000,2163,1,47100,2269,1
7370,8,63,10,2,1,8,63,51,0,30,32,14,36,25,66,68,58,86,95,1,1,1479,1,1,1407,41000,1,1,1964,40000,1,1,48500,2072,1,54000,2076,1
7371,3,63,13,2,2,3,63,51,0,10,20,11,40,13,39,49,44,27,27,2,2,1203,1,2,1242,-2,1,2,-4,-1,1,2,-1,-4,1,-1,-4,1
7372,3,64,10,2,1,3,64,51,0,17,21,8,20,15,49,52,42,22,33,1,1,846,1,1,1279,18000,1,1,1769,21000,1,3,38000,4114,1,80000,5116,1
7373,7,61,10,2,1,7,61,51,0,5,12,4,12,5,32,37,30,3,4,1,1,500,3,1,575,1200,1,1,500,8000,1,1,1400,420,1,700,435,4
7374,8,64,12,3,2,8,63,51,0,14,20,10,32,7,45,40,43,27,23,2,1,490,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7375,10,58,12,3,2,10,58,51,0,11,22,14,18,5,40,37,49,22,26,2,1,500,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7376,7,61,12,3,2,7,61,51,0,11,19,9,16,5,40,37,41,14,17,2,1,331,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7377,5,57,13,2,2,5,57,51,1,7,4,8,21,6,35,38,26,4,3,2,1,750,1,1,782,13000,1,1,708,14000,1,1,15000,721,1,16000,1250,1
7378,3,59,13,2,2,3,59,51,1,20,18,13,42,14,53,51,44,43,39,2,1,890,1,1,721,15000,1,1,895,20000,1,1,19000,970,1,22000,1183,1
7379,2,61,10,2,1,2,61,51,1,6,12,6,28,4,34,35,32,8,5,1,1,486,1,1,1050,17500,1,1,1050,25000,1,1,22000,1306,1,19500,1358,1
7380,6,62,10,2,1,6,62,51,0,6,7,5,29,1,34,30,26,6,1,1,1,500,1,1,400,9000,1,1,625,275,1,1,10000,550,1,0,550,4
7381,5,64,10,2,1,5,64,51,0,6,16,6,24,4,34,35,36,10,8,1,1,778,1,1,825,22000,1,1,615,18000,1,-5,-5,-5,-5,0,-4,1
7382,4,62,13,2,2,4,62,51,0,15,21,12,39,6,46,38,46,36,27,2,1,635,1,1,700,20000,1,1,555,18000,1,1,18000,600,4,3500,700,1
7383,4,63,13,2,2,4,63,51,0,8,11,7,30,5,36,37,32,11,6,2,1,500,1,-5,-5,-5,-5,2,575,0,4,-4,0,-4,5,0,500,1
7384,11,61,10,2,1,11,61,51,1,7,22,4,28,7,35,40,39,14,13,1,1,825,1,1,825,25000,1,1,930,24000,1,1,25000,930,1,-1,1000,1
7385,5,60,10,2,1,5,60,51,0,8,12,7,8,12,36,48,33,4,12,1,1,550,1,1,400,6000,1,1,500,6000,1,1,10000,500,1,22000,600,1
7386,5,62,10,2,1,5,62,51,1,14,23,14,49,16,45,54,50,47,45,1,1,850,3,1,500,19000,2,1,844,13000,1,1,18000,750,1,15000,850,1
7387,1,58,10,2,1,1,58,51,1,20,29,11,29,8,53,41,53,48,46,1,1,700,3,1,142,8350,1,1,250,7000,1,1,10000,625,2,20000,437,1
7388,1,62,13,2,2,1,62,51,1,19,34,12,35,18,51,57,58,64,70,2,1,700,1,1,714,15600,1,1,850,16000,1,1,12000,800,1,14000,800,1
7389,2,59,13,2,2,2,58,51,1,9,33,14,33,12,38,48,59,45,50,2,1,600,3,1,460,5000,1,1,500,5000,1,1,4000,520,1,5000,540,1
7390,4,63,13,2,2,4,63,51,0,8,11,3,9,8,36,41,28,2,5,2,-4,-4,4,-4,-4,0,4,-4,-4,0,4,-4,0,-4,4,0,-4,4
7391,12,57,13,2,2,12,57,51,1,5,19,10,24,6,32,38,42,14,14,2,1,1217,1,1,1387,26500,2,1,1505,29000,1,1,35500,1552,1,34000,1565,1
7392,6,59,13,2,2,6,59,51,1,9,21,9,26,8,38,41,43,18,20,2,1,600,1,1,650,7500,1,1,700,12000,1,1,15000,825,1,23000,875,1
7393,4,58,13,2,2,4,58,51,1,13,20,11,43,14,43,51,44,33,31,2,3,500,1,1,450,17000,1,1,428,7000,1,1,9000,600,1,14000,-4,4
7394,2,63,13,2,2,2,63,51,0,9,15,7,26,5,38,37,36,12,11,2,1,732,4,-4,-4,0,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
7395,1,62,13,2,2,1,62,51,1,11,29,11,41,16,40,54,53,42,46,2,1,930,3,-4,-4,5000,3,1,1066,1000,1,3,13000,1395,1,-2,600,1
7396,3,64,13,2,2,3,64,51,0,11,23,12,46,11,40,46,48,38,31,2,2,806,1,2,841,17500,1,2,841,17500,1,2,19375,809,1,19375,155,1
7397,8,59,13,2,2,8,59,51,1,15,26,11,44,20,46,60,50,46,52,2,1,1300,1,1,1623,29500,1,1,1573,45000,1,1,42000,1346,1,42000,2403,1
7398,10,58,13,2,2,10,58,51,1,14,32,12,32,12,45,48,56,47,51,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7399,3,64,10,2,1,3,64,51,0,26,28,14,34,21,61,62,54,69,77,1,2,821,1,2,1071,22000,2,2,1105,23000,2,2,22500,1105,1,23000,1153,1
7400,12,60,10,2,1,12,60,51,0,11,27,11,24,10,40,44,51,27,34,1,1,817,1,1,655,18000,1,3,1370,7000,1,3,0,1393,1,38000,740,1
7401,10,63,10,2,1,10,63,51,0,16,25,11,33,17,47,55,49,38,46,1,1,1153,1,1,-4,30000,1,1,1153,30000,1,1,26000,1000,1,12000,1442,1
7402,4,57,10,2,1,4,57,53,1,6,8,4,5,6,34,38,26,1,2,1,2,476,1,1,1250,-2,1,1,425,-2,1,1,-2,-4,1,10000,585,5
7403,5,60,13,2,2,5,60,51,0,9,13,2,9,6,38,38,29,3,5,2,2,695,2,2,536,9900,1,2,711,23000,1,2,-2,610,1,23000,690,1
7404,6,63,10,2,1,6,63,51,0,6,7,3,17,4,34,35,24,2,1,1,1,776,1,1,570,9000,1,1,600,5000,2,1,7000,666,2,14000,-4,7
7405,7,64,13,2,2,7,64,51,0,4,15,3,8,7,31,40,32,2,6,2,1,181,1,1,500,10000,1,1,525,6000,1,1,9000,550,1,13000,575,1
7406,8,63,9,3,1,8,63,51,0,12,23,6,27,5,42,37,42,21,19,1,1,600,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7407,3,58,12,3,2,3,58,51,1,17,25,11,37,7,49,40,49,42,35,2,1,1000,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7408,7,62,12,3,2,7,62,51,0,14,17,8,39,6,45,38,38,25,17,2,1,583,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7409,6,57,12,3,2,6,57,51,1,13,29,10,20,11,43,46,52,28,40,2,1,541,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7410,5,61,13,2,2,5,61,51,1,16,29,10,38,14,47,51,52,46,48,2,1,1338,1,1,1339,28968,1,1,1383,30472,1,1,31000,1490,2,40412,1942,1
7411,11,59,10,2,1,11,59,51,1,12,13,7,15,6,42,38,34,9,11,1,2,877,1,2,986,20800,6,2,917,19000,1,-5,-5,-5,-5,24600,983,1
7412,4,63,11,1,1,4,63,51,0,22,33,8,39,18,55,57,54,63,66,1,1,1057,1,1,1039,20000,1,1,659,12000,1,1,10203,1000,1,10000,3846,1
7413,8,57,11,1,1,8,57,51,1,23,29,14,50,15,57,52,55,77,65,1,1,1217,1,1,961,35000,1,1,116,34800,1,3,46000,1511,1,44000,1410,1
7414,2,59,12,3,2,2,59,51,1,19,35,12,30,15,51,52,59,60,67,2,3,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7415,7,57,12,3,2,7,57,51,1,19,33,12,29,11,51,46,57,55,56,2,2,1346,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7416,11,62,12,3,2,11,62,51,0,17,11,7,28,10,49,44,32,16,16,2,1,920,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7417,5,62,11,1,1,5,62,51,0,22,28,14,28,8,55,41,54,53,50,1,1,1000,1,1,1105,23000,1,1,1201,25000,2,1,24000,1153,1,25000,1282,1
7418,10,63,14,1,2,10,63,51,0,11,22,10,26,12,40,48,45,22,28,2,1,625,1,1,700,13000,1,-5,-5,-5,-5,1,25000,950,1,27000,1300,1
7419,11,62,9,3,1,11,62,51,1,29,35,15,28,24,65,66,62,84,99,1,1,1048,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7420,4,59,12,3,2,4,59,51,1,21,31,11,36,17,54,55,54,59,63,2,1,1200,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7421,3,62,14,1,2,3,62,51,1,16,21,11,29,11,47,46,45,30,32,2,3,1937,1,3,8076,21000,1,3,1682,43200,1,3,0,961,1,-5,-5,-5
7422,9,63,14,1,2,9,63,51,0,20,22,11,41,21,53,62,46,46,53,2,1,1250,1,1,1452,27000,1,1,1298,29000,1,1,27000,1217,1,-5,-5,-5
7423,12,63,14,1,2,12,63,51,0,20,31,13,32,23,53,65,56,58,76,2,1,1490,1,1,1586,35000,1,1,1643,34500,1,1,34000,1594,1,36500,1712,1
7424,7,61,11,1,1,7,61,51,1,22,32,13,50,19,55,58,57,79,73,1,1,1656,1,1,1656,41000,1,1,1752,41000,1,1,43000,1837,1,45700,1952,1
7425,12,63,9,3,1,12,63,51,0,14,26,11,26,8,45,41,50,31,34,1,1,1250,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7426,1,59,14,1,2,1,59,51,1,28,35,15,50,23,64,65,62,99,98,2,1,1810,1,1,1622,27000,1,1,2243,28000,1,1,28000,2100,1,30000,2380,1
7427,1,61,11,1,1,1,61,51,1,29,34,15,43,25,65,68,61,96,99,1,2,769,1,2,843,25000,1,1,909,0,1,2,30000,961,1,31000,1748,1
7428,5,64,14,1,2,5,64,51,0,24,34,14,49,16,58,54,60,89,78,2,1,775,1,1,817,15600,1,1,857,17000,1,1,18500,889,1,24000,1252,1
7429,12,59,9,3,1,12,59,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,961,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7430,7,60,14,1,2,7,60,51,0,17,23,10,33,13,49,49,46,35,37,2,1,1000,1,1,1100,22000,1,1,1202,23000,1,1,25000,1050,1,29000,1450,1
7431,10,63,9,3,1,10,63,51,0,28,31,12,31,18,64,57,55,72,77,1,1,850,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7432,9,61,13,2,2,9,61,51,1,11,23,10,25,8,40,41,46,23,25,2,1,677,1,1,698,14520,1,1,933,17000,1,1,19000,980,1,21000,889,1
7433,1,59,13,2,2,1,59,51,0,16,25,12,34,10,47,44,50,41,38,2,-4,-4,4,-4,-4,0,5,-4,-4,0,3,-4,0,-4,3,0,-4,7
7434,11,62,10,2,1,11,62,51,0,15,13,5,21,10,46,44,32,12,14,1,1,625,7,-4,-4,0,7,-4,-4,1500,7,-4,0,-4,7,0,-4,7
7435,4,60,13,2,2,4,60,51,1,9,20,7,36,6,38,38,40,20,15,2,1,1538,1,-5,-5,-5,-5,1,1744,29000,1,1,35000,1682,2,36000,1682,1
7436,3,59,13,2,2,3,59,51,1,8,18,12,37,7,36,40,43,23,18,2,1,900,1,1,850,15000,1,1,725,8000,4,1,7000,600,4,0,-4,4
7437,11,60,13,2,2,11,60,51,1,17,17,7,40,11,49,46,37,27,22,2,2,1091,1,1,750,25000,1,2,1247,28800,1,2,28000,775,2,29000,750,1
7438,1,62,13,2,2,1,62,51,1,10,21,13,39,11,39,46,47,30,29,2,1,1025,2,1,817,17000,1,1,875,18000,1,1,18000,868,1,18000,875,7
7439,6,63,13,2,2,6,63,51,0,11,17,11,50,15,40,52,41,29,25,2,1,709,1,1,769,19200,1,1,658,16440,1,1,18700,726,1,19500,1452,1
7440,9,64,13,2,2,9,64,51,0,7,15,10,49,8,35,41,38,22,13,2,2,1254,1,2,1267,29618,1,1,740,25000,1,1,20000,936,1,35000,975,1
7441,10,63,13,2,2,8,63,51,0,6,8,7,8,4,34,35,29,2,3,2,1,450,1,1,425,8447,3,-4,-4,0,4,-4,0,-4,4,0,-4,4
7442,3,57,13,2,2,3,57,51,0,28,29,11,29,15,64,52,53,64,68,2,1,705,1,1,673,18000,1,1,750,15000,1,1,15000,790,1,17500,830,1
7443,9,61,13,2,2,9,61,51,1,16,27,11,37,11,47,46,51,44,42,2,1,650,1,-5,-5,-5,-5,1,455,8000,4,-4,0,-4,4,3200,675,1
7444,8,60,10,2,1,11,62,51,0,8,4,2,4,7,36,40,20,1,1,1,1,475,3,1,600,6000,1,1,650,1000,1,1,10000,662,1,40000,707,1
7445,10,61,13,2,2,10,61,53,1,3,8,6,1,4,30,35,28,1,2,2,-4,-4,6,-4,-4,0,4,-4,-4,0,7,-4,0,-4,4,0,-4,7
7446,5,63,13,2,2,5,63,51,0,7,6,4,4,6,35,38,24,1,2,2,1,400,1,1,450,8000,4,1,485,4000,1,1,1000,450,4,0,-4,7
7447,11,57,13,2,2,11,57,51,0,10,17,10,18,6,39,38,40,14,16,2,1,455,1,1,450,17000,1,1,500,9000,1,1,8000,444,5,1400,514,4
7448,1,64,13,2,2,1,64,51,0,6,11,2,8,7,34,40,27,1,4,2,-4,-4,4,-4,-4,0,4,-4,-4,0,4,-4,0,-4,3,0,-4,7
7449,10,63,13,2,2,10,63,51,0,10,10,2,36,4,39,35,26,10,3,2,1,290,7,-4,-4,0,4,-4,-4,0,4,1,0,371,1,-1,-4,1
7450,6,62,12,3,2,6,62,51,1,23,33,12,32,20,57,60,57,67,77,2,1,87,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7451,2,62,13,2,2,2,62,51,1,10,34,12,28,12,39,48,58,40,49,2,-4,-4,4,1,585,1200,4,-4,-4,1000,4,-4,0,-4,4,0,-4,7
7452,5,58,12,3,2,5,58,51,1,12,28,13,27,12,42,48,54,35,44,2,1,525,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7453,6,57,12,3,2,6,57,51,1,30,34,14,48,24,66,66,60,99,97,2,2,844,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7454,7,57,10,2,1,7,57,51,1,12,23,12,24,11,42,46,48,25,32,1,2,1575,1,2,1645,34216,1,2,1759,36600,1,2,38888,1869,1,41000,1941,1
7455,2,59,13,2,2,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-4,-4,4,-4,-4,0,4,-4,-4,0,4,-4,-1,-4,4,0,-4,7
7456,10,62,10,2,1,10,62,51,0,6,6,1,7,7,34,40,21,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-2,625,1
7457,2,63,10,2,1,2,64,51,0,9,7,4,6,4,38,35,25,1,2,1,1,950,1,1,425,14000,1,1,450,23000,1,1,19000,2000,1,28000,1250,1
7458,8,58,13,2,2,8,58,51,1,11,30,11,37,15,40,52,54,41,46,2,2,961,1,2,-4,-1,1,2,-4,-1,1,-5,-5,-5,-5,-5,-5,-5
7459,12,59,13,2,2,12,59,51,0,10,17,7,23,6,39,38,37,13,13,2,1,-4,7,-4,-4,0,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
7460,12,60,13,2,2,12,60,51,1,15,20,12,34,8,46,41,45,32,27,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-2,575,4,-5,-5,-5
7461,6,62,10,2,1,6,62,51,0,5,9,5,15,9,32,43,28,3,4,1,1,-4,1,1,600,2000,7,1,500,12000,1,1,12000,475,1,-2,550,1
7462,3,64,13,2,2,3,64,51,0,9,19,8,19,8,38,41,40,13,17,2,1,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-4,7
7463,9,62,10,2,1,9,62,53,0,9,10,3,4,4,38,35,27,2,3,1,-4,-4,6,1,465,1000,1,1,500,10000,1,1,10000,525,1,10000,500,2
7464,7,58,13,2,2,7,58,51,1,10,15,7,28,9,39,43,36,14,14,2,1,570,4,1,500,9000,1,1,565,12000,1,1,11000,528,3,4000,-4,4
7465,12,61,10,2,1,12,61,51,1,10,22,8,24,10,39,44,43,18,22,1,1,800,2,1,828,18000,1,1,650,14000,1,1,12000,425,1,14000,425,1
7466,9,63,10,2,1,9,63,51,0,10,10,3,17,4,39,35,27,5,4,1,1,700,1,1,793,9000,1,1,675,12000,1,1,12000,625,1,-2,425,4
7467,9,57,10,2,1,9,57,51,1,6,3,5,15,7,34,40,22,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-2,1500,1
7468,7,59,13,2,2,7,59,51,0,16,31,11,25,11,47,46,54,41,47,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7469,2,64,10,2,1,2,64,51,0,8,8,2,15,11,36,46,24,2,4,1,1,1133,1,1,1190,25000,1,1,1238,28000,1,1,28000,1346,1,22000,1348,1
7470,10,60,13,2,2,10,60,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-4,-4,8,-4,-4,7000,8,-4,-4,0,8,-4,0,-4,8,700,-4,8
7471,12,59,11,1,1,12,59,51,1,21,29,11,23,16,54,54,53,44,59,1,1,1034,1,1,1065,26000,1,1,1159,25000,1,1,29000,1394,1,25289,972,1
7472,12,60,11,1,1,12,60,51,1,23,23,9,42,22,57,63,45,49,55,1,2,1131,1,2,1269,35000,1,2,1325,31000,1,2,29000,1394,1,42000,1468,1
7473,7,63,11,1,1,7,63,51,0,13,20,6,29,10,43,44,39,20,20,1,1,565,1,1,650,12000,1,1,750,13000,1,1,16000,769,1,16000,900,1
7474,10,60,10,2,1,10,60,51,1,12,19,5,22,6,42,38,37,14,14,1,1,1046,1,1,1196,20000,1,1,1235,25000,1,1,27000,1237,4,24000,800,3
7475,7,62,13,2,2,7,62,51,1,12,26,10,16,17,42,55,49,22,42,2,1,1152,1,1,1153,28000,1,1,1014,25000,2,1,24000,1048,1,24000,1048,2
7476,2,64,13,2,2,2,64,51,0,11,18,10,37,13,40,49,41,24,23,2,-5,-5,-5,1,671,12000,1,1,700,14000,4,1,290,600,1,6000,628,1
7477,5,59,13,2,2,5,59,51,1,9,24,13,37,10,38,44,50,32,31,2,2,-4,1,2,-4,-1,1,-5,-5,-5,-5,2,27400,1317,7,-1,-4,1
7478,8,61,13,2,2,8,61,51,1,7,20,8,48,14,35,51,41,25,22,2,1,396,1,2,887,24000,2,2,1177,32450,1,2,25000,961,2,28000,1121,1
7479,12,61,13,2,2,12,61,51,0,7,17,12,39,5,35,37,42,22,15,2,2,994,1,2,1041,24000,1,2,1158,23000,1,2,24000,1201,1,27717,1328,1
7480,5,63,13,2,2,4,63,51,1,11,12,12,29,8,40,41,37,17,15,2,2,747,1,2,868,16800,1,2,940,18000,1,2,22000,862,1,22000,1029,1
7481,2,62,13,2,2,2,62,51,1,12,34,12,34,20,42,60,58,49,64,2,1,435,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7482,3,62,10,2,1,3,62,51,0,8,13,8,20,10,36,44,35,9,12,1,1,1043,1,1,1196,23900,2,1,1196,25000,1,1,22000,1057,1,24000,1259,1
7483,2,63,10,2,1,2,63,51,0,6,18,6,12,6,34,38,37,7,10,1,1,1550,1,1,1651,25000,1,1,2000,30000,1,1,34000,1634,1,34000,2000,1
7484,3,64,10,2,1,3,64,51,0,5,19,10,27,18,32,57,42,15,25,1,2,969,1,2,1034,23000,1,2,1009,23000,1,-5,-5,-5,-5,12000,550,1
7485,3,63,13,2,2,3,63,51,0,18,33,15,34,15,50,52,60,65,68,2,1,581,5,1,624,1000,7,1,425,1600,5,-4,0,-4,4,0,425,1
7486,5,60,10,2,1,5,60,51,1,8,28,10,14,5,36,37,51,19,26,1,2,1000,1,2,953,18500,1,2,961,20000,1,2,20000,926,1,22880,1100,1
7487,10,57,10,2,1,10,57,51,0,7,17,6,26,4,35,35,37,12,9,1,2,875,1,2,817,17000,1,2,1538,35000,1,2,21000,100,7,12000,500,1
7488,1,59,10,2,1,1,59,51,1,19,32,12,37,21,51,62,56,60,71,1,1,1734,1,1,1883,54100,1,1,1543,50300,1,1,52000,1678,1,49500,1602,1
7489,1,61,13,2,2,1,61,51,1,19,33,12,39,17,51,55,57,65,66,2,1,1201,1,1,1300,25400,1,1,1442,30000,1,1,29000,1499,1,37000,1550,1
7490,7,63,13,2,2,7,63,51,0,9,25,6,27,13,38,49,44,20,26,2,1,865,1,1,550,18000,1,1,721,15000,1,1,13500,649,1,15500,639,1
7491,9,64,10,2,1,9,64,51,0,9,25,12,30,13,38,49,50,28,35,1,1,891,1,1,1000,26500,1,1,1100,19000,1,1,27400,975,1,24000,1196,1
7492,12,62,13,2,2,12,62,51,1,8,20,9,39,9,36,43,42,23,19,2,1,576,1,1,556,14000,1,1,769,18000,1,1,21000,734,1,21000,861,1
7493,2,58,13,2,2,2,57,51,0,8,10,5,15,9,36,43,29,4,6,2,-4,-4,7,1,485,0,1,1,425,4500,1,1,13000,500,7,0,35,7
7494,9,62,13,2,2,9,62,51,0,12,18,10,30,5,42,37,41,22,18,2,1,633,1,1,439,8000,1,1,670,9000,1,1,14000,697,1,10000,710,1
7495,12,63,10,2,1,12,63,51,0,19,13,10,36,9,51,43,37,26,22,1,1,650,1,1,650,18000,1,1,817,17000,1,1,-2,900,1,25000,1150,1
7496,9,60,13,2,2,9,60,51,0,8,11,4,27,5,36,37,29,7,4,2,1,410,1,1,450,1000,3,-4,-4,0,4,-4,0,-4,4,0,475,1
7497,7,63,13,2,2,7,63,51,0,6,9,9,24,7,34,40,32,7,7,2,1,535,1,1,526,7000,1,1,526,7000,1,1,10000,336,4,8000,425,1
7498,10,58,13,2,2,10,58,51,1,22,33,15,49,20,55,60,60,85,80,2,2,1442,1,2,1490,31000,1,2,10000,33500,1,2,33800,1634,1,35000,1600,7
7499,9,57,10,2,1,9,57,51,0,3,12,4,8,6,30,38,30,1,4,1,1,427,3,-4,-4,0,3,-4,-4,0,3,-4,0,-4,6,500,-4,4
7500,12,62,13,2,2,12,62,51,1,12,13,11,23,9,42,43,37,15,17,2,1,375,4,1,425,2000,1,1,475,2000,3,1,150,327,3,699,-4,4
7501,5,60,13,2,2,5,60,51,0,14,14,9,26,12,45,48,37,17,21,2,-4,-4,4,-4,-4,0,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
7502,3,61,10,2,1,3,61,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,750,1,1,850,15000,1,1,800,12000,3,-4,0,-4,3,20000,1250,1
7503,8,62,13,2,2,8,62,51,1,7,11,6,24,10,35,44,31,7,8,2,2,336,3,1,650,12000,3,-4,-4,0,4,-4,0,-4,4,0,-4,7
7504,12,63,13,2,2,11,63,51,0,8,13,7,29,7,36,40,34,12,9,2,3,400,1,-4,-4,0,4,3,600,2000,1,3,7000,425,1,3000,430,1
7505,2,62,10,2,1,2,62,51,1,8,12,7,20,8,36,41,33,8,9,1,-5,-5,-5,1,700,17000,1,1,800,23000,1,1,-2,800,7,0,800,1
7506,3,61,13,2,2,3,61,51,1,8,14,7,21,6,36,38,35,9,9,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
7507,2,60,10,2,1,2,60,51,1,11,16,6,33,7,40,40,36,17,13,1,1,1375,1,1,12,25000,1,1,1350,16000,1,1,16000,1125,1,-2,-4,1
7508,6,57,13,2,2,6,57,51,1,13,13,8,12,4,43,35,35,9,11,2,2,750,1,2,734,8250,1,2,750,15600,1,2,15000,773,1,20000,700,1
7509,6,58,10,2,1,6,58,51,0,11,11,6,16,5,40,37,31,7,7,1,1,1100,1,1,1133,23000,1,1,1306,22000,1,1,24000,1201,1,26000,1348,1
7510,4,58,13,2,2,4,58,51,1,6,20,8,24,3,34,33,41,14,12,2,-4,-4,4,-4,-4,0,4,-4,-4,0,4,2,5000,651,1,39000,1252,1
7511,4,57,10,2,1,4,57,51,0,11,23,5,27,8,40,41,41,19,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,13000,700,1
7512,11,59,10,2,1,11,59,51,1,13,19,11,23,14,43,51,43,21,29,1,1,1025,1,1,900,18000,3,1,750,19500,3,1,4400,800,1,-5,-5,-5
7513,6,62,13,2,2,6,62,51,1,4,20,7,26,9,31,43,40,12,14,2,1,480,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12000,659,1
7514,9,58,13,2,2,9,58,51,1,16,33,13,32,16,47,54,58,54,63,2,1,663,1,1,688,17000,1,1,703,16000,1,1,15600,733,2,16000,758,1
7515,2,62,13,2,2,2,62,51,1,12,22,9,31,14,42,51,44,25,30,2,1,625,1,1,655,17000,1,1,817,17000,1,1,17352,834,1,19000,860,1
7516,7,61,10,2,1,7,61,51,1,11,21,10,25,11,40,46,44,21,25,1,1,850,1,1,903,19000,1,1,913,19000,1,1,19000,925,1,20280,975,1
7517,1,61,10,2,1,1,61,51,0,8,5,5,19,8,36,41,24,3,3,1,1,-4,7,-4,-4,0,7,-4,-4,0,7,1,1800,555,1,35000,820,3
7518,3,62,13,2,2,3,62,51,0,8,6,6,18,4,36,35,26,4,2,2,-4,-4,6,-4,-4,0,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
