"R0000100","R0000300","R0000500","R0173600","R0214700","R0214800","R0410100","R0410300","R0614800","R0614900","R0615100","R0615200","R0615300","R0615400","R0615700","R0618011","R0618017","R0618100","R0618200","R0618300","R0810200","R3127500","R3127800","R3401000","R3523200","R3523500","R3559000","R3656400","R3728200","R3728500","R3897100","R4006900","R4182300","R4295100","R4416800","R4418000","R4982800","R5079800","R5081000"
10698,8,57,15,3,1,8,57,51,1,11,24,12,35,4,40,35,49,32,25,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10699,6,58,15,3,1,6,58,51,0,11,22,10,25,7,40,40,45,22,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10700,4,60,15,3,1,4,60,51,0,27,31,12,28,14,62,51,55,66,69,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10701,2,60,15,3,1,2,60,51,0,28,33,15,39,15,64,52,60,89,81,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10702,5,59,15,3,1,5,59,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10703,7,57,15,3,1,-5,-5,51,1,13,26,6,42,11,43,46,45,34,29,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10704,7,57,16,2,1,7,57,51,1,6,11,7,22,9,34,43,32,6,8,1,1,450,7,-4,-4,0,3,1,277,11000,1,1,7500,500,1,11000,600,1
10705,1,57,15,3,1,1,57,51,1,18,33,12,48,4,50,35,57,71,45,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
10706,6,58,16,2,1,6,58,51,1,13,32,12,41,15,43,52,56,52,53,1,-4,-4,8,-4,-4,0,8,-4,-4,0,8,-4,0,-4,8,0,-4,8
10707,10,59,17,1,1,10,59,51,1,17,23,7,49,11,49,46,43,41,30,1,1,880,3,1,663,10000,1,1,616,12000,2,1,12000,663,5,0,500,7
10708,6,58,15,3,1,6,58,51,0,17,28,5,39,8,49,41,46,39,31,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
