Variable,onegrams,twograms,threegrams,wordcount,rspanabsolute,rspantotal,sixletters,auxverbs,presentverbs,pronouns,personalpronouns,articles,negation,certainty,punctuation,condition,whichtalk,relatedknowledge,year,GPA,concentration,SATreading,SATmath,SATwriting,SATcombined,laptopornotebook,betterlorn,objectiveZ,openZ,openandobjectiveZ,rawobjective,rawopen,openZ,condition,whichtalk,,,,
,0.7476,0.22115,0.05145,316,51,66,31.33,5.7,8.23,6.65,2.85,3.48,0.63,2.85,17.72,0,2,4,2,3.2,MOL,800,730,710,2240,1,5,-0.8,2.55,0.87,7,6,2.55,0,2,,,,
,0.57364,0.14063,0.02362,130,54,63,34.62,0.77,0,3.08,0.77,0.77,1.54,0,33.08,1,2,1,3,3.1,Economics,740,800,800,2340,1,1,-1.55,2.55,0.5,6,6,2.55,1,2,,,,
,0.75194,0.21875,0.07087,128,37,61,25.78,6.25,8.59,10.16,5.47,5.47,1.56,0,18.75,1,2,3,1,3.6,Molecular Biology,,,,2190,1,6,-0.95,2.55,0.8,5,6,2.55,1,2,,,,
,0.8114,0.32599,0.10619,226,75,75,23.89,8.41,10.18,6.19,3.98,2.21,1.77,1.33,13.72,0,3,3,1,,Economics-Finance,,,,,1,4,0.32,-0.86,-0.27,5,3,-0.86,0,3,,,,
,0.61776,0.23643,0.12062,225,42,58,23.56,4,4.89,3.56,1.33,2.67,2.22,0.89,16.89,1,3,1,2,3.6,MAE,780,800,790,2370,1,2,-0.43,-0.38,-0.4,4,3,-0.38,1,3,,,,
,0.85192,0.37696,0.1521,572,42,59,21.5,8.74,9.62,8.04,2.8,6.64,1.92,0.87,13.11,0,3,1,2,3.65,"Molecular Biology major, Global Health certificate",800,780,740,2320,3,4,-1.17,0.11,-0.53,3,4,0.11,0,3,,,,
,0.89667,0.38796,0.18792,300,16,44,26,7.67,8.67,8.67,5,6.33,2,1.67,15.67,0,3,1,3,3.1,evolutionary biology,640,790,700,2130,3,6,-0.8,0.11,-0.35,3,4,0.11,0,3,,,,
,0.82838,0.31457,0.1196,311,42,53,25.4,9.65,11.25,10.93,6.43,5.47,1.61,0.96,14.79,0,3,5,2,3,psychology,800,740,720,2260,1,1,1.81,-0.38,0.72,7,4,-0.38,0,3,,,,
,0.8701,0.54054,0.34729,382,68,71,26.18,8.38,7.59,8.38,4.97,7.33,2.36,1.83,8.64,0,3,1,3,3.7,Chemistry,800,780,800,2380,1,1,0.32,0.11,0.21,5,4,0.11,0,3,,,,
,0.78022,0.36464,0.18333,193,64,68,25.91,5.7,6.74,7.25,3.11,7.77,1.04,0.52,19.69,1,3,3,3,3.3,Math,800,800,800,2400,2,6,1.06,0.11,0.59,6,4,0.11,1,3,,,,
,0.62658,0.17834,0.05128,161,65,70,29.81,3.73,6.21,3.11,0.62,1.24,2.48,0,30.43,1,3,1,4,,,800,770,740,2310,1,4,-1.17,0.11,-0.53,3,4,0.11,1,3,,,,
,0.74603,0.28662,0.1278,273,37,54,24.91,4.76,5.13,3.66,2.2,6.23,2.2,0.73,20.88,0,3,3,1,3.73,Classics,760,800,800,2360,1,2,1.06,1.09,1.07,6,5,1.09,0,3,,,,
